order_id,business_id,rider_id,flour_id,order_date,total_amount,quantity_bags,price_per_bag,payment_method,order_status
ORD-837715,BIZ-1019,4,2,2025-10-26,254800.0,26,9800.0,POS,Cancelled
ORD-946305,BIZ-1053,3,4,2025-10-10,21000.0,2,10500.0,POS,Pending
ORD-108203,BIZ-1022,1,4,2025-10-20,94500.0,9,10500.0,Cash,Pending
ORD-681542,BIZ-1016,4,5,2025-10-21,205800.0,21,9800.0,Cash,Pending
ORD-795613,BIZ-1057,2,4,2025-10-09,189000.0,18,10500.0,Cash,Delivered
ORD-240814,BIZ-1056,2,2,2025-10-04,332500.0,35,9500.0,POS,Delivered
ORD-212235,BIZ-1036,1,2,2025-10-08,28500.0,3,9500.0,Bank Transfer,Cancelled
ORD-262998,BIZ-1036,1,3,2025-10-23,98000.0,10,9800.0,POS,Delivered
ORD-734210,BIZ-1008,4,1,2025-10-09,362600.0,37,9800.0,Cash,Delivered
ORD-459536,BIZ-1032,1,5,2025-10-07,370500.0,39,9500.0,Bank Transfer,Cancelled
ORD-765046,BIZ-1048,4,3,2025-10-07,20000.0,2,10000.0,POS,Delivered
ORD-629959,BIZ-1019,3,5,2025-10-26,49000.0,5,9800.0,POS,Cancelled
ORD-987204,BIZ-1005,2,3,2025-10-15,76000.0,8,9500.0,POS,Pending
ORD-765095,BIZ-1030,3,3,2025-10-02,50000.0,5,10000.0,Cash,Delivered
ORD-390120,BIZ-1003,4,2,2025-10-13,280000.0,28,10000.0,Cash,Delivered
ORD-449759,BIZ-1003,4,3,2025-10-02,340000.0,34,10000.0,Cash,Cancelled
ORD-768061,BIZ-1044,2,2,2025-10-24,380000.0,38,10000.0,Bank Transfer,Pending
ORD-269430,BIZ-1033,4,3,2025-10-30,284200.0,29,10000.0,Cash,Delivered
ORD-678478,BIZ-1059,1,3,2025-10-23,320000.0,32,10000.0,Bank Transfer,Pending
ORD-688153,BIZ-1058,2,5,2025-10-22,170000.0,17,10000.0,POS,Delivered
ORD-178898,BIZ-1051,3,2,2025-10-01,333200.0,34,9800.0,POS,Pending
ORD-824586,BIZ-1041,4,3,2025-10-29,313600.0,32,9800.0,Cash,Delivered
ORD-672092,BIZ-1053,1,3,2025-10-28,60000.0,6,10000.0,POS,Delivered
ORD-487151,BIZ-1026,4,5,2025-10-02,200000.0,20,10000.0,Cash,Cancelled
ORD-255287,BIZ-1019,2,3,2025-10-18,360000.0,36,10000.0,Cash,Pending
ORD-143860,BIZ-1040,3,2,2025-10-13,166600.0,17,9800.0,Cash,Delivered
ORD-934794,BIZ-1026,1,2,2025-10-10,343000.0,35,9800.0,POS,Pending
ORD-141832,BIZ-1013,3,2,2025-10-30,180000.0,18,10000.0,Cash,Delivered
ORD-320281,BIZ-1004,2,4,2025-10-27,235200.0,24,10000.0,POS,Cancelled
ORD-799330,BIZ-1016,3,4,2025-10-21,90000.0,9,10000.0,POS,Pending
ORD-918011,BIZ-1058,3,4,2025-10-04,94500.0,9,10500.0,POS,Pending
ORD-526117,BIZ-1001,4,5,2025-10-17,325500.0,31,10500.0,Bank Transfer,Delivered
ORD-885884,BIZ-1013,3,1,2025-10-30,178500.0,17,10500.0,Cash,Pending
ORD-348237,BIZ-1033,1,2,2025-10-05,47500.0,5,9500.0,POS,Pending
ORD-938742,BIZ-1016,3,3,2025-10-26,58800.0,6,9800.0,POS,Cancelled
ORD-532322,BIZ-1035,4,3,2025-10-25,392000.0,40,9800.0,Cash,Pending
ORD-872343,BIZ-1011,2,4,2025-10-01,399000.0,38,10000.0,POS,Cancelled
ORD-920391,BIZ-1013,1,5,2025-10-28,68600.0,7,9800.0,POS,Delivered
ORD-941204,BIZ-1024,1,4,2025-10-28,107800.0,11,9800.0,Bank Transfer,Delivered
ORD-870763,BIZ-1020,4,5,2025-10-21,283500.0,27,10500.0,Bank Transfer,Delivered
ORD-379766,BIZ-1035,4,4,2025-10-25,190000.0,19,10000.0,POS,Delivered
ORD-835343,BIZ-1055,4,4,2025-10-05,166600.0,17,9800.0,POS,Delivered
ORD-140605,BIZ-1016,1,4,2025-10-04,100000.0,10,10000.0,Bank Transfer,Delivered
ORD-333238,BIZ-1042,4,4,2025-10-26,200000.0,20,10000.0,Cash,Cancelled
ORD-582662,BIZ-1038,2,3,2025-10-06,210000.0,20,10500.0,Cash,Delivered
ORD-960394,BIZ-1002,4,5,2025-10-11,370500.0,39,9500.0,POS,Pending
ORD-338651,BIZ-1011,1,4,2025-10-24,19000.0,2,9500.0,POS,Pending
ORD-792094,BIZ-1009,1,3,2025-10-07,351500.0,37,9500.0,POS,Cancelled
ORD-444207,BIZ-1028,1,3,2025-10-06,290000.0,29,10000.0,POS,Pending
ORD-172792,BIZ-1008,2,3,2025-10-09,63000.0,6,10500.0,Cash,Pending
ORD-392683,BIZ-1060,2,1,2025-10-30,68600.0,7,9800.0,POS,Pending
ORD-634150,BIZ-1023,3,3,2025-10-11,199500.0,19,10500.0,Bank Transfer,Pending
ORD-984642,BIZ-1013,3,3,2025-10-12,170000.0,17,10000.0,POS,Delivered
ORD-128941,BIZ-1039,4,4,2025-10-17,367500.0,35,10500.0,Bank Transfer,Cancelled
ORD-373903,BIZ-1001,4,4,2025-10-04,252000.0,24,10500.0,Bank Transfer,Pending
ORD-378361,BIZ-1027,2,1,2025-10-06,352800.0,36,9800.0,POS,Pending
ORD-725550,BIZ-1019,1,2,2025-10-02,76000.0,8,9500.0,Cash,Cancelled
ORD-863934,BIZ-1036,3,2,2025-10-14,10500.0,1,10500.0,Bank Transfer,Pending
ORD-557592,BIZ-1054,4,5,2025-10-24,78400.0,8,9800.0,POS,Cancelled
ORD-636265,BIZ-1054,4,3,2025-10-19,189000.0,18,10500.0,Bank Transfer,Pending
ORD-704596,BIZ-1046,4,2,2025-10-04,352800.0,36,9800.0,POS,Cancelled
ORD-146542,BIZ-1014,2,3,2025-10-06,85500.0,9,9500.0,Cash,Cancelled
ORD-101773,BIZ-1060,2,5,2025-10-22,171000.0,18,9500.0,POS,Cancelled
ORD-945687,BIZ-1053,4,3,2025-10-16,313600.0,32,9800.0,Cash,Pending
ORD-854377,BIZ-1031,4,5,2025-10-17,378000.0,36,10500.0,Bank Transfer,Cancelled
ORD-872840,BIZ-1012,1,3,2025-10-29,168000.0,16,10500.0,Bank Transfer,Pending
ORD-481913,BIZ-1026,4,2,2025-10-21,325500.0,31,10500.0,Cash,Delivered
ORD-796503,BIZ-1043,3,3,2025-10-13,90000.0,9,10000.0,Bank Transfer,Cancelled
ORD-753425,BIZ-1002,1,3,2025-10-28,285000.0,30,9500.0,POS,Delivered
ORD-989208,BIZ-1058,2,5,2025-10-10,52500.0,5,10500.0,POS,Cancelled
ORD-414910,BIZ-1027,2,3,2025-10-04,247000.0,26,9500.0,Cash,Cancelled
ORD-799287,BIZ-1013,3,2,2025-10-16,304000.0,32,9500.0,POS,Cancelled
ORD-521947,BIZ-1007,3,3,2025-10-13,186200.0,19,9800.0,Bank Transfer,Cancelled
ORD-681343,BIZ-1012,1,5,2025-10-21,73500.0,7,10500.0,Bank Transfer,Delivered
ORD-540869,BIZ-1051,2,5,2025-10-04,199500.0,21,9500.0,Cash,Pending
ORD-497562,BIZ-1048,4,2,2025-10-20,98000.0,10,9800.0,Bank Transfer,Delivered
ORD-282480,BIZ-1055,1,3,2025-10-21,63000.0,6,10500.0,POS,Delivered
ORD-415568,BIZ-1014,2,3,2025-10-19,157500.0,15,10500.0,Cash,Cancelled
ORD-974224,BIZ-1013,2,2,2025-10-13,10500.0,1,10500.0,Bank Transfer,Pending
ORD-400850,BIZ-1046,4,5,2025-10-01,230000.0,23,10000.0,Cash,Pending
ORD-923927,BIZ-1021,4,4,2025-10-07,136500.0,13,10500.0,Bank Transfer,Pending
ORD-786508,BIZ-1010,2,5,2025-10-18,370000.0,37,10000.0,Bank Transfer,Cancelled
ORD-563246,BIZ-1006,3,4,2025-10-10,260000.0,26,10000.0,POS,Cancelled
ORD-324082,BIZ-1039,1,5,2025-10-14,320000.0,32,10000.0,Bank Transfer,Cancelled
ORD-932291,BIZ-1035,1,4,2025-10-16,130000.0,13,10000.0,POS,Cancelled
ORD-934692,BIZ-1019,4,4,2025-10-28,30000.0,3,10000.0,POS,Pending
ORD-790855,BIZ-1029,2,5,2025-10-23,85500.0,9,9500.0,POS,Pending
ORD-640490,BIZ-1017,1,5,2025-10-03,117600.0,12,9800.0,POS,Cancelled
ORD-749342,BIZ-1017,2,3,2025-10-20,176400.0,18,9800.0,Cash,Cancelled
ORD-958179,BIZ-1034,4,4,2025-10-11,209000.0,22,9500.0,Bank Transfer,Delivered
ORD-346277,BIZ-1030,3,3,2025-10-29,260000.0,26,10000.0,Bank Transfer,Pending
ORD-335552,BIZ-1001,4,5,2025-10-21,332500.0,35,9500.0,POS,Cancelled
ORD-254511,BIZ-1018,2,4,2025-10-25,178500.0,17,10500.0,POS,Delivered
ORD-356736,BIZ-1008,2,2,2025-10-01,294500.0,31,9500.0,POS,Delivered
ORD-740967,BIZ-1019,4,4,2025-10-30,300000.0,30,10000.0,Bank Transfer,Delivered
ORD-176365,BIZ-1026,4,4,2025-10-26,30000.0,3,10000.0,Bank Transfer,Delivered
ORD-760356,BIZ-1042,4,3,2025-10-14,343000.0,35,9800.0,Cash,Cancelled
ORD-853240,BIZ-1056,1,3,2025-10-18,367500.0,35,10500.0,POS,Delivered
ORD-618392,BIZ-1015,2,4,2025-10-21,336000.0,32,10500.0,POS,Pending
ORD-254739,BIZ-1025,4,2,2025-10-12,147000.0,14,10500.0,Cash,Delivered
ORD-105814,BIZ-1008,3,3,2025-10-20,240000.0,24,10000.0,Cash,Delivered
ORD-907451,BIZ-1053,3,2,2025-10-27,84000.0,8,10500.0,POS,Cancelled
ORD-916232,BIZ-1035,3,5,2025-10-27,370500.0,39,9500.0,Bank Transfer,Delivered
ORD-284430,BIZ-1056,3,2,2025-10-13,362600.0,37,9800.0,POS,Delivered
ORD-829716,BIZ-1015,1,4,2025-10-25,150000.0,15,10000.0,Cash,Delivered
ORD-152657,BIZ-1017,1,4,2025-10-16,90000.0,9,10000.0,POS,Delivered
ORD-989545,BIZ-1058,2,2,2025-10-17,85500.0,9,9500.0,POS,Pending
ORD-239816,BIZ-1004,2,4,2025-10-04,19600.0,2,10000.0,Bank Transfer,Cancelled
ORD-800005,BIZ-1035,3,3,2025-10-25,256500.0,27,9500.0,Cash,Pending
ORD-686075,BIZ-1059,4,2,2025-10-16,313500.0,33,9500.0,POS,Delivered
ORD-891937,BIZ-1003,4,4,2025-10-18,340000.0,34,10000.0,Bank Transfer,Pending
ORD-742412,BIZ-1040,3,3,2025-10-27,273000.0,26,10500.0,POS,Pending
ORD-629298,BIZ-1000,2,2,2025-10-25,47500.0,5,9500.0,Bank Transfer,Delivered
ORD-674485,BIZ-1060,4,5,2025-10-13,180000.0,18,10000.0,Cash,Cancelled
ORD-266889,BIZ-1004,3,4,2025-10-14,409500.0,39,10500.0,POS,Cancelled
ORD-597732,BIZ-1015,4,3,2025-10-23,352800.0,36,9800.0,Bank Transfer,Pending
ORD-888295,BIZ-1028,4,3,2025-10-14,231000.0,22,10500.0,POS,Delivered
ORD-768636,BIZ-1030,2,5,2025-10-08,220500.0,21,10500.0,Cash,Delivered
ORD-915451,BIZ-1018,3,4,2025-10-09,294500.0,31,9500.0,Bank Transfer,Pending
ORD-757193,BIZ-1050,1,4,2025-10-16,70000.0,7,10000.0,POS,Cancelled
ORD-561239,BIZ-1001,3,3,2025-10-08,360000.0,36,10000.0,Cash,Cancelled
ORD-399607,BIZ-1035,2,5,2025-10-03,266000.0,28,9500.0,Cash,Delivered
ORD-452161,BIZ-1058,1,3,2025-10-08,362600.0,37,9800.0,Bank Transfer,Delivered
ORD-666390,BIZ-1008,3,5,2025-10-10,230000.0,23,10000.0,POS,Delivered
ORD-258157,BIZ-1004,2,1,2025-10-03,266000.0,28,9500.0,Bank Transfer,Pending
ORD-827659,BIZ-1042,2,4,2025-10-07,200000.0,20,10000.0,Bank Transfer,Delivered
ORD-324345,BIZ-1038,3,2,2025-10-05,388500.0,37,10500.0,POS,Cancelled
ORD-527398,BIZ-1005,1,3,2025-10-02,19000.0,2,9500.0,Cash,Pending
ORD-588557,BIZ-1004,2,5,2025-10-10,215600.0,22,9800.0,POS,Pending
ORD-316881,BIZ-1006,3,2,2025-10-13,351500.0,37,9500.0,Bank Transfer,Cancelled
ORD-508396,BIZ-1058,2,3,2025-10-25,38000.0,4,9500.0,POS,Pending
ORD-712451,BIZ-1017,4,5,2025-10-28,336000.0,32,10500.0,Bank Transfer,Cancelled
ORD-120480,BIZ-1019,4,4,2025-10-29,80000.0,8,10000.0,Cash,Cancelled
ORD-902784,BIZ-1006,2,4,2025-10-26,399000.0,38,10500.0,Bank Transfer,Pending
ORD-600149,BIZ-1014,3,2,2025-10-18,370500.0,39,9500.0,Cash,Delivered
ORD-468845,BIZ-1029,2,5,2025-10-01,90000.0,9,10000.0,Bank Transfer,Delivered
ORD-508930,BIZ-1046,1,2,2025-10-09,336000.0,32,10500.0,Cash,Cancelled
ORD-976325,BIZ-1017,3,3,2025-10-26,150000.0,15,10000.0,POS,Delivered
ORD-883826,BIZ-1014,4,4,2025-10-13,266000.0,28,9500.0,Cash,Cancelled
ORD-938722,BIZ-1033,4,5,2025-10-23,294000.0,28,10500.0,Bank Transfer,Pending
ORD-331251,BIZ-1039,1,3,2025-10-19,20000.0,2,10000.0,POS,Pending
ORD-386193,BIZ-1032,3,2,2025-10-15,63000.0,6,10500.0,Cash,Cancelled
ORD-130434,BIZ-1027,4,5,2025-10-14,247000.0,26,9500.0,POS,Pending
ORD-801364,BIZ-1043,1,4,2025-10-12,150000.0,15,10000.0,POS,Cancelled
ORD-523956,BIZ-1027,2,5,2025-10-21,78400.0,8,9800.0,POS,Cancelled
ORD-981334,BIZ-1017,3,2,2025-10-22,98000.0,10,9800.0,Cash,Delivered
ORD-233827,BIZ-1044,3,2,2025-10-15,117600.0,12,9800.0,POS,Pending
ORD-660069,BIZ-1023,2,5,2025-10-30,315000.0,30,10500.0,Bank Transfer,Pending
ORD-513160,BIZ-1024,4,5,2025-10-01,52500.0,5,10000.0,Cash,Cancelled
ORD-795205,BIZ-1060,3,5,2025-10-18,40000.0,4,10000.0,Cash,Pending
ORD-773971,BIZ-1014,2,5,2025-10-01,28500.0,3,9500.0,Bank Transfer,Cancelled
ORD-584125,BIZ-1033,4,4,2025-10-13,63000.0,6,10500.0,Cash,Cancelled
ORD-372793,BIZ-1051,4,2,2025-10-06,130000.0,13,10000.0,Bank Transfer,Pending
ORD-321941,BIZ-1058,3,2,2025-10-12,70000.0,7,10000.0,Bank Transfer,Delivered
ORD-453894,BIZ-1015,1,5,2025-10-14,304500.0,29,10500.0,Cash,Pending
ORD-497542,BIZ-1001,2,4,2025-10-23,262500.0,25,10500.0,POS,Cancelled
ORD-972335,BIZ-1052,2,4,2025-10-09,209000.0,22,9500.0,POS,Cancelled
ORD-975467,BIZ-1043,2,2,2025-10-13,250000.0,25,10000.0,Cash,Delivered
ORD-120324,BIZ-1007,2,5,2025-10-03,372400.0,38,9800.0,POS,Cancelled
ORD-154615,BIZ-1030,3,5,2025-10-23,254800.0,26,9800.0,POS,Pending
ORD-466960,BIZ-1013,3,3,2025-10-30,215600.0,22,9800.0,POS,Pending
ORD-171951,BIZ-1005,2,2,2025-10-07,20000.0,2,10000.0,Bank Transfer,Pending
ORD-783414,BIZ-1057,1,2,2025-10-24,313600.0,32,9800.0,Bank Transfer,Delivered
ORD-132537,BIZ-1029,3,5,2025-10-02,180500.0,19,9500.0,POS,Delivered
ORD-309044,BIZ-1055,1,2,2025-10-29,409500.0,39,10500.0,Bank Transfer,Cancelled
ORD-751517,BIZ-1032,4,4,2025-10-26,392000.0,40,10000.0,Cash,Pending
ORD-232352,BIZ-1045,2,3,2025-10-05,168000.0,16,10500.0,Bank Transfer,Cancelled
ORD-219946,BIZ-1043,4,2,2025-10-15,160000.0,16,10000.0,Cash,Cancelled
ORD-328552,BIZ-1039,4,5,2025-10-17,388500.0,37,10500.0,Cash,Cancelled
ORD-368690,BIZ-1045,1,2,2025-10-14,357000.0,34,10500.0,POS,Delivered
ORD-275939,BIZ-1053,4,5,2025-10-24,161500.0,17,9500.0,POS,Delivered
ORD-884256,BIZ-1002,2,4,2025-10-19,323000.0,34,9500.0,Bank Transfer,Pending
ORD-915573,BIZ-1031,4,4,2025-10-22,284200.0,29,9800.0,Bank Transfer,Pending
ORD-426147,BIZ-1024,4,4,2025-10-25,218500.0,23,9500.0,Cash,Cancelled
ORD-126925,BIZ-1029,4,4,2025-10-04,235200.0,24,9800.0,Cash,Delivered
ORD-703766,BIZ-1057,3,5,2025-10-28,20000.0,2,10000.0,Bank Transfer,Delivered
ORD-493537,BIZ-1030,4,1,2025-10-21,30000.0,3,10000.0,POS,Pending
ORD-849747,BIZ-1034,3,4,2025-10-12,275500.0,29,9500.0,Cash,Delivered
ORD-720859,BIZ-1043,3,5,2025-10-06,105000.0,10,10500.0,Bank Transfer,Pending
ORD-757711,BIZ-1047,1,1,2025-10-21,76000.0,8,9500.0,POS,Cancelled
ORD-831059,BIZ-1016,3,3,2025-10-08,285000.0,30,9500.0,POS,Cancelled
ORD-991597,BIZ-1055,1,5,2025-10-24,19600.0,2,9800.0,Cash,Delivered
ORD-944657,BIZ-1002,1,3,2025-10-21,400000.0,40,10000.0,Bank Transfer,Cancelled
ORD-693423,BIZ-1016,3,1,2025-10-04,60000.0,6,10000.0,Cash,Pending
ORD-464069,BIZ-1027,2,5,2025-10-24,31500.0,3,10500.0,POS,Delivered
ORD-793655,BIZ-1026,2,2,2025-10-16,218500.0,23,9500.0,POS,Cancelled
ORD-630538,BIZ-1033,1,4,2025-10-12,70000.0,7,10000.0,Cash,Cancelled
ORD-113266,BIZ-1011,4,3,2025-10-20,215600.0,22,9800.0,POS,Delivered
ORD-962276,BIZ-1006,4,4,2025-10-26,85500.0,9,9500.0,Cash,Delivered
ORD-554582,BIZ-1025,3,5,2025-10-15,29400.0,3,9800.0,Cash,Cancelled
ORD-766459,BIZ-1058,2,4,2025-10-29,273000.0,26,10500.0,POS,Delivered
ORD-582071,BIZ-1010,3,5,2025-10-27,190000.0,19,10000.0,Cash,Delivered
ORD-556641,BIZ-1055,4,3,2025-10-22,252000.0,24,10500.0,Cash,Pending
ORD-647091,BIZ-1044,4,5,2025-10-06,126000.0,12,10500.0,POS,Pending
ORD-383201,BIZ-1047,3,3,2025-10-29,63000.0,6,10500.0,POS,Delivered
ORD-664315,BIZ-1027,2,4,2025-10-19,350000.0,35,10000.0,Bank Transfer,Pending
ORD-587455,BIZ-1042,4,3,2025-10-24,190000.0,19,10000.0,Bank Transfer,Cancelled
ORD-866536,BIZ-1042,4,4,2025-10-14,290000.0,29,10000.0,POS,Pending
ORD-437960,BIZ-1041,2,4,2025-10-18,420000.0,40,10500.0,Bank Transfer,Cancelled
ORD-971084,BIZ-1027,1,4,2025-10-26,260000.0,26,10000.0,Bank Transfer,Cancelled
ORD-392477,BIZ-1017,1,4,2025-10-29,275500.0,29,9500.0,Bank Transfer,Cancelled
ORD-355709,BIZ-1049,4,4,2025-10-27,240000.0,24,10000.0,POS,Delivered
ORD-697530,BIZ-1011,2,3,2025-10-23,290000.0,29,10000.0,Bank Transfer,Cancelled
ORD-497399,BIZ-1058,4,1,2025-10-19,90000.0,9,10000.0,POS,Pending
ORD-618317,BIZ-1008,3,2,2025-10-11,152000.0,16,9500.0,Cash,Cancelled
ORD-290672,BIZ-1049,2,5,2025-10-26,237500.0,25,9500.0,POS,Pending
ORD-472060,BIZ-1020,4,2,2025-10-15,140000.0,14,10000.0,Bank Transfer,Delivered
ORD-456871,BIZ-1036,1,3,2025-10-24,52500.0,5,10500.0,Bank Transfer,Cancelled
ORD-725113,BIZ-1050,3,5,2025-10-09,210000.0,21,10000.0,Cash,Delivered
ORD-389688,BIZ-1028,1,4,2025-10-22,120000.0,12,10000.0,Bank Transfer,Delivered
ORD-641722,BIZ-1002,3,1,2025-10-17,168000.0,16,10500.0,POS,Cancelled
ORD-189771,BIZ-1055,1,4,2025-10-29,252000.0,24,10500.0,Bank Transfer,Pending
ORD-526170,BIZ-1006,4,3,2025-10-08,273000.0,26,10500.0,POS,Delivered
ORD-894993,BIZ-1058,3,3,2025-10-15,90000.0,9,10000.0,Cash,Cancelled
ORD-599219,BIZ-1061,1,2,2025-10-08,340000.0,34,10000.0,Bank Transfer,Pending
ORD-614663,BIZ-1005,3,2,2025-10-20,313500.0,33,9500.0,Cash,Delivered
ORD-118080,BIZ-1011,1,1,2025-10-14,110000.0,11,10000.0,POS,Pending
ORD-332360,BIZ-1031,1,5,2025-10-03,60000.0,6,10000.0,Bank Transfer,Cancelled
ORD-355123,BIZ-1022,1,2,2025-10-13,190000.0,20,9500.0,Bank Transfer,Cancelled
ORD-709805,BIZ-1056,3,4,2025-10-10,400000.0,40,10000.0,Bank Transfer,Delivered
ORD-680358,BIZ-1009,1,3,2025-10-12,370000.0,37,10000.0,POS,Cancelled
ORD-546173,BIZ-1005,2,5,2025-10-16,21000.0,2,10500.0,Cash,Delivered
ORD-677124,BIZ-1047,4,4,2025-10-30,260000.0,26,10000.0,POS,Delivered
ORD-836996,BIZ-1052,4,3,2025-10-10,115500.0,11,10500.0,Cash,Delivered
ORD-421517,BIZ-1030,2,5,2025-10-14,215600.0,22,9800.0,POS,Pending
ORD-226516,BIZ-1021,2,4,2025-10-08,254800.0,26,9800.0,Cash,Delivered
ORD-430876,BIZ-1043,2,3,2025-10-22,285000.0,30,9500.0,Bank Transfer,Delivered
ORD-661894,BIZ-1050,2,3,2025-10-04,66500.0,7,9500.0,POS,Pending
ORD-823688,BIZ-1049,2,5,2025-10-29,156800.0,16,9800.0,Bank Transfer,Delivered
ORD-326895,BIZ-1059,4,5,2025-10-06,336000.0,32,10500.0,Cash,Delivered
ORD-389930,BIZ-1034,4,2,2025-10-23,63000.0,6,10500.0,Bank Transfer,Cancelled
ORD-897135,BIZ-1045,3,5,2025-10-22,218500.0,23,9500.0,Cash,Cancelled
ORD-396745,BIZ-1017,3,4,2025-10-16,310000.0,31,10000.0,Cash,Delivered
ORD-973074,BIZ-1011,4,5,2025-10-30,170000.0,17,10000.0,Bank Transfer,Pending
ORD-338533,BIZ-1029,2,5,2025-10-06,39200.0,4,9800.0,Bank Transfer,Pending
ORD-416950,BIZ-1016,2,4,2025-10-11,346500.0,33,10500.0,Bank Transfer,Delivered
ORD-660081,BIZ-1053,2,1,2025-10-01,260000.0,26,10000.0,Bank Transfer,Delivered
ORD-147726,BIZ-1031,3,4,2025-10-04,409500.0,39,10500.0,Bank Transfer,Delivered
ORD-680238,BIZ-1024,4,2,2025-10-30,231000.0,22,10500.0,POS,Cancelled
ORD-232413,BIZ-1004,2,2,2025-10-09,90000.0,9,10000.0,Cash,Cancelled
ORD-889359,BIZ-1037,4,5,2025-10-20,200000.0,20,10000.0,Cash,Delivered
